account_id,year_month_won,upgraded_boolean,age_in_months,pre_upgrade_plan,post_upgrade_plan,upgrade_levels,num_agents,mrr_pre_upgrade,mrr_post_upgrade,mrr_delta,num_trig,num_automations,num_tags,num_macros,num_groups,num_orgs,num_fields,enabled_HC,enabled_redaction,enabled_insights,enabled_talk,enabled_widget,enabled_csat,enabled_hours,enabled_slas,enabled_HCcode,enabled_community,num_apps,num_tix_solved_last60d
1211461,201611,0,0,Team,n/a,0,1,25,25,0,7,1,2,4,1,1,0,1,0,NULL,0,0,0,0,0,0,1,0,NULL
1211528,201610,0,1,Professional,n/a,0,1,59,59,0,7,1,2,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,0
1211533,201610,0,1,Essential,n/a,0,7,63,63,0,7,1,17,4,2,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,14
1211606,201610,0,1,Professional,n/a,0,3,118,118,0,7,2,21,4,2,2,1,0,0,NULL,0,0,0,1,0,0,1,1,1
1211672,201610,0,1,Essential,n/a,0,1,5,5,0,7,1,3,4,1,1,0,0,0,NULL,0,1,0,0,0,NULL,NULL,0,4
1211714,201610,0,1,Team,n/a,0,1,25,25,0,7,1,2,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,0
1211757,201610,0,1,Team,n/a,0,3,75,75,0,7,1,4,4,2,2,0,0,0,NULL,0,1,0,0,0,NULL,NULL,1,5
1211789,201610,0,1,Essential,n/a,0,1,5,5,0,7,1,2,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,8
1211846,201610,0,1,Enterprise,n/a,0,3,125,125,0,7,1,2,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,2
1211882,201611,0,0,Enterprise,n/a,0,NULL,125,125,0,7,1,0,4,1,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
1211901,201610,0,1,Team,n/a,0,4,100,100,0,7,1,2,4,1,1,0,0,0,NULL,0,0,0,0,0,0,1,0,1
1211971,201611,0,0,Team,n/a,0,1,25,25,0,7,1,16,4,1,1,1,0,0,NULL,0,1,0,0,0,1,1,3,27
1212002,201610,0,1,Team,n/a,0,6,114,114,0,9,1,3,1,6,1,4,0,0,1,0,0,0,1,0,NULL,NULL,0,26
1212048,201611,0,0,Essential,n/a,0,1,5,5,0,7,1,3,4,1,1,0,1,0,NULL,0,0,0,0,0,0,1,1,9
1212145,201610,0,1,Team,n/a,0,1,152,152,0,7,1,2,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,0
1212208,201610,0,1,Professional,n/a,0,6,295,295,0,5,1,8,4,2,2,1,1,0,NULL,0,0,0,0,0,1,1,1,18
1212314,201610,0,1,Essential,n/a,0,1,5,5,0,7,1,2,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,1
1212345,201611,0,0,Essential,n/a,0,5,9,9,0,7,1,2,4,2,1,0,0,0,NULL,0,1,0,0,0,NULL,NULL,1,0
1212347,201611,0,0,Team,n/a,0,1,23.27,23.27,0,6,1,6,4,1,1,0,0,0,NULL,0,1,0,0,0,0,1,0,2
1212565,201610,0,1,Essential,n/a,0,3,27,27,0,8,1,4,4,2,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,2
1212582,201610,0,1,Essential,n/a,0,NULL,5.5,5.5,0,7,1,0,4,1,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
1212665,201610,0,1,Team,n/a,0,5,82.45,82.45,0,7,1,4,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,13
1212731,201609,0,2,Essential,n/a,0,2,10,10,0,6,1,27,4,2,1,1,0,0,NULL,0,1,0,0,0,NULL,NULL,0,5
1212847,201609,0,2,Essential,n/a,0,2,18,18,0,6,1,5,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,5
1212848,201609,0,2,Team,n/a,0,1,50,50,0,7,1,2,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,0
1212918,201610,0,1,Team,n/a,0,NULL,109.94,109.94,0,7,1,0,4,1,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
1212933,201610,0,1,Team,n/a,0,5,150,150,0,6,1,12,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,7
1212947,201609,0,2,Essential,n/a,0,7,35,35,0,6,1,11,4,1,1,2,1,0,NULL,0,0,0,0,0,0,1,0,3
1212949,201610,0,1,Team,n/a,0,NULL,27.48,27.48,0,7,1,0,4,1,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
1212985,201610,0,1,Team,n/a,0,1,75,75,0,7,1,2,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,0
1213008,201609,0,2,Team,n/a,0,5,95,95,0,6,1,15,4,1,4,1,1,0,NULL,0,0,0,0,0,0,1,2,66
1213032,201610,0,1,Essential,n/a,0,1,22.04,22.04,0,7,1,2,4,1,1,0,0,0,NULL,0,1,0,0,0,NULL,NULL,1,0
1213054,201610,0,1,Essential,n/a,0,2,22.04,22.04,0,7,1,12,7,1,1,0,0,0,NULL,0,1,0,0,0,NULL,NULL,1,26
1213097,201609,0,2,Team,n/a,0,1,100,100,0,6,1,4,4,1,1,0,0,0,NULL,0,1,0,0,0,NULL,NULL,1,6
1213233,201611,0,0,Professional,n/a,0,1,147,147,0,7,1,2,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,0
1213270,201610,0,1,Team,n/a,0,6,200,200,0,8,1,28,4,1,2,1,1,0,NULL,1,1,0,0,0,0,1,0,44
1213287,201610,0,1,Professional,n/a,0,1,118,118,0,7,2,2,4,1,1,0,0,0,1,0,0,1,0,0,NULL,NULL,0,0
1213329,201611,0,0,Professional,n/a,0,1,59,59,0,7,1,2,4,1,1,0,0,0,NULL,0,0,0,0,0,0,1,0,0
1213351,201610,0,1,Professional,n/a,0,1,59,59,0,7,1,2,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,1
1213392,201611,0,0,Team,n/a,0,3,25,25,0,7,2,6,4,3,1,0,0,0,NULL,0,1,1,0,0,NULL,NULL,2,4
1213439,201611,0,0,Team,n/a,0,3,25,25,0,7,2,2,4,1,2,0,0,0,NULL,1,0,1,1,0,NULL,NULL,1,0
1213459,201610,0,1,Team,n/a,0,1,50,50,0,7,1,4,4,1,1,0,0,0,NULL,1,0,0,0,0,NULL,NULL,1,2
1213464,201610,0,1,Essential,n/a,0,2,10,10,0,7,1,4,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,7
1213548,201610,0,1,Essential,n/a,0,NULL,10.99,10.99,0,7,1,0,4,1,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
1213581,201610,0,1,Team,n/a,0,1,150,150,0,6,1,2,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,0
1213620,201610,0,1,Essential,n/a,0,2,9,9,0,7,1,2,4,1,1,0,0,0,NULL,0,1,0,0,0,NULL,NULL,1,0
1213624,201610,0,1,Professional,n/a,0,6,236,236,0,1,1,4,4,1,1,0,0,0,NULL,0,1,0,0,0,NULL,NULL,1,118
1213647,201611,0,0,Team,n/a,0,1,50,50,0,7,1,5,4,1,1,0,0,0,NULL,1,1,0,1,0,NULL,NULL,1,4
1213738,201610,0,1,Team,n/a,0,4,150,150,0,8,1,3,4,3,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,1,1
1213758,201610,0,1,Enterprise,n/a,0,2,297,297,0,7,1,5,4,1,2,0,0,0,NULL,0,1,0,0,0,NULL,NULL,0,0
1213800,201611,0,0,Professional,n/a,0,5,59,59,0,7,1,2,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,0
1213814,201610,0,1,Essential,n/a,0,1,10,10,0,7,1,9,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,0
1213880,201610,0,1,Professional,n/a,0,3,413,413,0,7,3,10,4,5,2,0,0,0,NULL,0,1,1,0,0,0,1,1,3
1213968,201610,0,1,Team,n/a,0,1,50,50,0,7,1,5,4,1,1,0,0,0,NULL,0,1,0,0,0,NULL,NULL,1,0
1213996,201610,0,1,Team,n/a,0,NULL,20.89,20.89,0,7,1,0,4,1,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
1214000,201610,0,1,Essential,n/a,0,NULL,5.5,5.5,0,7,1,0,4,1,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
1214009,201610,0,1,Essential,n/a,0,2,9,9,0,7,1,2,4,1,1,0,0,0,NULL,1,0,0,0,0,NULL,NULL,0,0
1214017,201610,0,1,Essential,n/a,0,NULL,9,9,0,7,1,0,4,1,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
