ID,ID,Address,Latitude,Longitude,SalePrice,IsAStudio,Beds,Baths,Size,SizeUnit,LotSize,LotSizeUnit,BuiltInYear,YearOfSale,MonthOfSale,DayOfSale,WeekDayOfSale
81,15077572,"601 Van Ness Ave APT 48, San Francisco, CA",37781386,-122421406,0.83,False,2.0,2.0,1090.0,sqft,,,1982.0,2015,11,30,<built-in method weekday of Timestamp object at 0x10997fd50>
82,15077602,"601 Van Ness Ave APT 78, San Francisco, CA",37781386,-122421406,0.81,False,2.0,2.0,952.0,sqft,,,1982.0,2015,12,18,<built-in method weekday of Timestamp object at 0x10997fcd0>
83,15077705,"601 Van Ness Ave APT 605, San Francisco, CA",37781386,-122421406,0.825,False,2.0,2.0,1072.0,sqft,,,1982.0,2015,12,1,<built-in method weekday of Timestamp object at 0x10997fc50>
84,15077725,"601 Van Ness Ave APT 201, San Francisco, CA",37781386,-122421406,0.555,False,1.0,1.0,750.0,sqft,,,1982.0,2016,1,5,<built-in method weekday of Timestamp object at 0x10997fbd0>
85,15077902,"601 Van Ness Ave APT 944, San Francisco, CA",37781386,-122421406,0.6,False,1.0,1.0,894.0,sqft,,,1982.0,2015,12,10,<built-in method weekday of Timestamp object at 0x10997fb50>
86,15077929,"601 Van Ness Ave APT 405, San Francisco, CA",37781386,-122421406,0.825,False,2.0,2.0,881.0,sqft,,,1982.0,2015,12,4,<built-in method weekday of Timestamp object at 0x10997fad0>
87,15078419,"301 Gough St APT 3, San Francisco, CA",37776184,-122423007,0.81,False,1.0,1.0,626.0,sqft,,,1999.0,2015,12,4,<built-in method weekday of Timestamp object at 0x10997fa50>
88,15078423,"301 Gough St # G, San Francisco, CA",37776184,-122423007,1.15,False,,,936.0,sqft,,,,2015,11,10,<built-in method weekday of Timestamp object at 0x10997f9d0>
89,15078434,"412-414 Linden St, San Francisco, CA",37776282,-122424850,0.835,False,4.0,2.0,2200.0,sqft,1297.0,sqft,1909.0,2015,12,16,<built-in method weekday of Timestamp object at 0x10997f950>
90,15078460,"622-626 Buchanan St, San Francisco, CA",37775745,-122427543,1.25,False,,,2785.0,sqft,1637.0,sqft,1900.0,2015,11,12,<built-in method weekday of Timestamp object at 0x10997f8d0>
91,15078536,"640 Steiner St, San Francisco, CA",37775399,-122432491,1.5,False,2.0,2.0,1593.0,sqft,,,1895.0,2015,12,15,<built-in method weekday of Timestamp object at 0x10997f850>
92,15078815,"545-547 Oak St, San Francisco, CA",37774030,-122428306,1.77,False,5.0,3.0,2610.0,sqft,3297.0,sqft,1900.0,2015,12,23,<built-in method weekday of Timestamp object at 0x10997f7d0>
93,15078866,"753-755 Oak St, San Francisco, CA",37773576,-122431663,0.375,False,,2.0,2430.0,sqft,3781.0,sqft,1890.0,2015,11,10,<built-in method weekday of Timestamp object at 0x10997f750>
94,15078940,"706 Haight St, San Francisco, CA",37771865,-122434050,1.68,False,2.0,2.0,1463.0,sqft,,,1997.0,2015,11,10,<built-in method weekday of Timestamp object at 0x10997f6d0>
95,15078953,"789-793 Page St, San Francisco, CA",37772439,-122433608,1.7,False,6.0,3.0,3825.0,sqft,2247.0,sqft,1911.0,2015,11,25,<built-in method weekday of Timestamp object at 0x10997f650>
96,15079164,"544 Waller St # 1, San Francisco, CA",37771145,-122432750,1.9,False,3.0,3.0,860.0,sqft,,,1983.0,2015,12,15,<built-in method weekday of Timestamp object at 0x10997f5d0>
97,15079269,"591-595 Waller St, San Francisco, CA",37770560,-122433330,1.23,False,,7.0,7240.0,sqft,2696.0,sqft,1900.0,2015,12,2,<built-in method weekday of Timestamp object at 0x10997f550>
98,15079279,"101-105 Steiner St, San Francisco, CA",37769994,-122431983,2.7,False,,3.0,6726.0,sqft,2735.0,sqft,1900.0,2015,12,9,<built-in method weekday of Timestamp object at 0x10997f4d0>
99,15079314,"457-461 Waller St, San Francisco, CA",37770797,-122431159,1.55,True,,,3750.0,sqft,3000.0,sqft,1900.0,2015,12,22,<built-in method weekday of Timestamp object at 0x10997f450>
100,15079585,"3835 Scott St APT 105, San Francisco, CA",37805235,-122442515,1.12,False,1.0,1.0,1118.0,sqft,,,1928.0,2015,12,22,<built-in method weekday of Timestamp object at 0x10997f3d0>
101,15079836,"2146 Bay St, San Francisco, CA",37802227,-122442439,7.1,False,2.0,4.5,1500.0,sqft,3436.0,sqft,1925.0,2015,11,25,<built-in method weekday of Timestamp object at 0x10997f350>
102,15080238,"2646-2648 Greenwich St, San Francisco, CA",37798286,-122443351,5.15,False,,2.0,2692.0,sqft,3436.0,sqft,1911.0,2015,12,4,<built-in method weekday of Timestamp object at 0x10997f2d0>
103,15080315,"2953 Broderick St, San Francisco, CA",37797633,-122444344,3.0,False,2.0,2.5,1876.0,sqft,1637.0,sqft,1923.0,2015,12,18,<built-in method weekday of Timestamp object at 0x10997f250>
104,15080609,"2769 Union St, San Francisco, CA",37795620,-122444820,3.13,False,3.0,2.0,2800.0,sqft,,,1984.0,2015,12,1,<built-in method weekday of Timestamp object at 0x10997f1d0>
105,15080826,"2780 Broadway St, San Francisco, CA",37793580,-122442803,17.1,False,5.0,6.0,6800.0,sqft,3460.0,sqft,1962.0,2015,11,25,<built-in method weekday of Timestamp object at 0x10997f150>
106,15080894,"2950 Pacific Ave, San Francisco, CA",37792769,-122444342,16.0,False,7.0,6.5,11500.0,sqft,0.28,ac,1907.0,2015,11,25,<built-in method weekday of Timestamp object at 0x10997f0d0>
107,15081067,"46 Presidio Ave, San Francisco, CA",37791250,-122447325,3.9,False,4.0,3.5,2750.0,sqft,2705.0,sqft,1916.0,2015,11,25,<built-in method weekday of Timestamp object at 0x10997f050>
108,15081147,"2955 Pacific Ave, San Francisco, CA",37791900,-122443975,3.65,False,3.0,2.0,2160.0,sqft,,,1995.0,2015,11,16,<built-in method weekday of Timestamp object at 0x10997ef50>
109,15081160,"2820 Jackson St, San Francisco, CA",37791799,-122441680,4.0,False,5.0,3.5,3212.0,sqft,3000.0,sqft,1900.0,2015,12,14,<built-in method weekday of Timestamp object at 0x10997eed0>
